Region,"Snow Depth in Valley (cm)","Snow Depth on Mountain (cm)","New Snow (cm)","Lifts Open",Date
"Silvapark GaltÃ¼r / Paznaun-Ischgl","15 cm","25 cm","5 cm",0,"Heute, 12:50"
"Silvretta Arena Ischgl / Samnaun","15 cm","40 cm","5 cm",30/46,"Heute, 12:50"
"Silvretta BielerhÃ¶he / Vermuntbahn / Montafon",-,"25 cm","10 cm",0,"Gestern, 09:01"
"Silvretta Montafon","10 cm","40 cm",-,9/36,"Heute, 12:19"
"SimonhÃ¶he / Sankt Urban","5 cm","5 cm",-,0,"Do, 28.11."
"Ski amade / Flachau / Snow Space Salzburg","10 cm","50 cm",-,16/45,"Heute, 09:00"
"Ski amade / St. Johann Alpendorf / Snow Space Salzburg","10 cm","50 cm",-,16/45,"Heute, 09:00"
"Ski amade / Wagrain / Snow Space Salzburg","10 cm","50 cm",-,16/45,"Heute, 09:00"
"Ski amade / Zauchensee / Flachauwinkl","30 cm","40 cm","10 cm",5/16,"Gestern, 08:38"
"Ski- und Gletscherwelt Zillertal 3000 / Zillertal",-,"85 cm",-,17/64,"Heute, 10:50"
"Skischaukel Mellau / DamÃ¼ls / Faschina","30 cm","40 cm",-,0,"Heute, 12:27"
"SkiWelt / Brixen im Thale","50 cm","70 cm","5 cm",,"Heute, 08:33"
"SkiWelt / Ellmau","50 cm","70 cm","5 cm",8/81,"Heute, 08:44"
"SkiWelt / Going","50 cm","70 cm","5 cm",,"Heute, 08:44"
"SkiWelt / Hopfgarten / Itter","50 cm","70 cm","5 cm",,"Heute, 08:45"
"SkiWelt / Scheffau","50 cm","70 cm","5 cm",,"Heute, 08:45"
"SkiWelt / SÃ¶ll","5 cm","70 cm","5 cm",,"Heute, 08:46"
"SkiWelt / Westendorf","50 cm","70 cm","5 cm",,"Heute, 08:59"
SÃ¶lden,-,"129 cm",-,23/31,"Heute, 12:15"
"Sonnenkopf / Klostertal",-,-,-,0,"Gestern, 11:11"
"Spieljoch / FÃ¼gen / Zillertal",-,-,-,0,"Gestern, 22:00"
"Sportgastein / Ski amade",-,"5 cm",-,0,"Heute, 09:00"
"St. Anton / Arlberg",-,-,-,0,"Heute, 12:53"
"St. Johann in Tirol",-,"25 cm",-,0,"Gestern, 09:18"
"Stubaier Gletscher / Stubaital","10 cm","50 cm",-,16/26,"Heute, 11:01"
"Stuben / Arlberg",-,-,-,0,"Heute, 12:53"
"Stuhleck / Semmering",-,-,-,0,"Heute, 12:00"
Sulzberg,"10 cm","10 cm",-,0,"Mo, 25.11."
"Tauplitz / Bad Mitterndorf / SchneebÃ¤ren","5 cm","40 cm","20 cm",1/17,"Heute, 12:52"
"Teichalm Lifte","30 cm","30 cm","10 cm",3/5,"Gestern, 11:30"
"Turracher HÃ¶he","10 cm","20 cm",-,3/15,"Heute, 02:00"
Vent,"15 cm","35 cm",-,0,"Heute, 12:10"
"Walmendingerhorn / Ifen / Heuberg","10 cm","74 cm","6 cm",,"Gestern, 10:03"
"Warth / SchrÃ¶cken am Arlberg","40 cm","60 cm",-,0,"Heute, 11:01"
Werfenweng,-,-,-,0,"Heute, 02:00"
"Wildkogel-Arena / Neukirchen / Bramberg",-,-,-,0,"Heute, 02:01"
"WildschÃ¶nau / Ski Juwel Alpbachtal WildschÃ¶nau","10 cm","50 cm",-,5/45,"Heute, 11:01"
"Wintersportarena Liebenau",-,-,-,0,"Heute, 09:15"
"Wurzeralm / Spital am Pyhrn",-,-,-,0,"Heute, 09:00"
"Zell am Ziller / Zillertal Arena",-,-,-,0,"Heute, 12:52"
